A,P,N,V,Z,S,H,C,G
-0.3567,-0.3851,-0.0101,0.0183,0.0183,-0.0000,-0.0000,-0.0010,-0.0010
-0.3581,-0.3847,-0.0097,0.0169,0.0169,0.0004,0.0004,-0.0005,0.0010
-0.3581,-0.3847,-0.0097,0.0169,0.0169,0.0004,0.0004,0.0010,-0.0005
-0.3586,-0.3845,-0.0095,0.0164,0.0164,0.0006,0.0006,0.0005,0.0005
-0.3566,-0.3852,-0.0102,0.0184,0.0184,-0.0015,0.0000,-0.0005,-0.0005
-0.3570,-0.3850,-0.0100,0.0180,0.0180,-0.0013,-0.0004,-0.0003,0.0005
-0.3570,-0.3850,-0.0100,0.0180,0.0180,-0.0013,-0.0004,0.0005,-0.0003
-0.3572,-0.3849,-0.0099,0.0178,0.0178,-0.0012,-0.0006,0.0003,0.0003
-0.3566,-0.3852,-0.0102,0.0184,0.0184,0.0000,-0.0015,-0.0005,-0.0005
-0.3570,-0.3850,-0.0100,0.0180,0.0180,-0.0004,-0.0013,-0.0003,0.0005
-0.3570,-0.3850,-0.0100,0.0180,0.0180,-0.0004,-0.0013,0.0005,-0.0003
-0.3572,-0.3849,-0.0099,0.0178,0.0178,-0.0006,-0.0012,0.0003,0.0003
-0.3586,-0.3845,-0.0095,0.0164,0.0164,0.0015,0.0015,-0.0003,-0.0003
-0.3588,-0.3844,-0.0094,0.0162,0.0162,0.0013,0.0013,-0.0002,0.0003
-0.3588,-0.3844,-0.0094,0.0162,0.0162,0.0013,0.0013,0.0003,-0.0002
-0.3589,-0.3843,-0.0093,0.0161,0.0161,0.0012,0.0012,0.0002,0.0002
-0.3328,-0.3924,-0.0174,0.0422,-0.0151,-0.0000,-0.0000,-0.0010,-0.0010
-0.3342,-0.3919,-0.0169,0.0408,-0.0165,0.0004,0.0004,-0.0005,0.0010
-0.3342,-0.3919,-0.0169,0.0408,-0.0165,0.0004,0.0004,0.0010,-0.0005
-0.3346,-0.3918,-0.0168,0.0404,-0.0169,0.0006,0.0006,0.0005,0.0005
-0.3326,-0.3924,-0.0174,0.0424,-0.0149,-0.0015,0.0000,-0.0005,-0.0005
-0.3331,-0.3923,-0.0173,0.0419,-0.0153,-0.0013,-0.0004,-0.0003,0.0005
-0.3331,-0.3923,-0.0173,0.0419,-0.0153,-0.0013,-0.0004,0.0005,-0.0003
-0.3332,-0.3922,-0.0172,0.0418,-0.0155,-0.0012,-0.0006,0.0003,0.0003
-0.3326,-0.3924,-0.0174,0.0424,-0.0149,0.0000,-0.0015,-0.0005,-0.0005
-0.3331,-0.3923,-0.0173,0.0419,-0.0153,-0.0004,-0.0013,-0.0003,0.0005
-0.3331,-0.3923,-0.0173,0.0419,-0.0153,-0.0004,-0.0013,0.0005,-0.0003
-0.3332,-0.3922,-0.0172,0.0418,-0.0155,-0.0006,-0.0012,0.0003,0.0003
-0.3346,-0.3918,-0.0168,0.0404,-0.0169,0.0015,0.0015,-0.0003,-0.0003
-0.3348,-0.3917,-0.0167,0.0402,-0.0171,0.0013,0.0013,-0.0002,0.0003
-0.3348,-0.3917,-0.0167,0.0402,-0.0171,0.0013,0.0013,0.0003,-0.0002
-0.3349,-0.3916,-0.0166,0.0401,-0.0172,0.0012,0.0012,0.0002,0.0002
-0.3391,-0.3901,-0.0151,0.0359,-0.0032,0.0002,0.0002,-0.0031,-0.0031
-0.3484,-0.3882,-0.0132,0.0266,-0.0004,0.0021,0.0021,-0.0012,0.0031
-0.3484,-0.3882,-0.0132,0.0266,-0.0004,0.0021,0.0021,0.0031,-0.0012
-0.3503,-0.3876,-0.0126,0.0247,0.0005,0.0027,0.0027,0.0012,0.0012
-0.3381,-0.3903,-0.0153,0.0369,-0.0036,-0.0045,-0.0002,-0.0012,-0.0012
-0.3400,-0.3897,-0.0147,0.0350,-0.0026,-0.0039,-0.0021,-0.0006,0.0012
-0.3400,-0.3897,-0.0147,0.0350,-0.0026,-0.0039,-0.0021,0.0012,-0.0006
-0.3405,-0.3895,-0.0145,0.0345,-0.0023,-0.0037,-0.0027,0.0006,0.0006
-0.3381,-0.3903,-0.0153,0.0369,-0.0036,-0.0002,-0.0045,-0.0012,-0.0012
-0.3400,-0.3897,-0.0147,0.0350,-0.0026,-0.0021,-0.0039,-0.0006,0.0012
-0.3400,-0.3897,-0.0147,0.0350,-0.0026,-0.0021,-0.0039,0.0012,-0.0006
-0.3405,-0.3895,-0.0145,0.0345,-0.0023,-0.0027,-0.0037,0.0006,0.0006
-0.3503,-0.3876,-0.0126,0.0247,0.0005,0.0045,0.0045,-0.0006,-0.0006
-0.3509,-0.3873,-0.0123,0.0241,0.0009,0.0039,0.0039,-0.0004,0.0006
-0.3509,-0.3873,-0.0123,0.0241,0.0009,0.0039,0.0039,0.0006,-0.0004
-0.3512,-0.3872,-0.0122,0.0238,0.0011,0.0037,0.0037,0.0004,0.0004
-0.3290,-0.3933,-0.0183,-0.0183,0.0460,0.0001,0.0001,-0.0024,-0.0024
-0.3357,-0.3919,-0.0169,-0.0169,0.0393,0.0015,0.0015,-0.0010,0.0024
-0.3357,-0.3919,-0.0169,-0.0169,0.0393,0.0015,0.0015,0.0024,-0.0010
-0.3371,-0.3914,-0.0164,-0.0164,0.0379,0.0020,0.0020,0.0010,0.0010
-0.3282,-0.3934,-0.0184,-0.0184,0.0468,-0.0035,-0.0001,-0.0010,-0.0010
-0.3297,-0.3930,-0.0180,-0.0180,0.0453,-0.0031,-0.0015,-0.0005,0.0010
-0.3297,-0.3930,-0.0180,-0.0180,0.0453,-0.0031,-0.0015,0.0010,-0.0005
-0.3301,-0.3928,-0.0178,-0.0178,0.0449,-0.0029,-0.0020,0.0005,0.0005
-0.3282,-0.3934,-0.0184,-0.0184,0.0468,-0.0001,-0.0035,-0.0010,-0.0010
-0.3297,-0.3930,-0.0180,-0.0180,0.0453,-0.0015,-0.0031,-0.0005,0.0010
-0.3297,-0.3930,-0.0180,-0.0180,0.0453,-0.0015,-0.0031,0.0010,-0.0005
-0.3301,-0.3928,-0.0178,-0.0178,0.0449,-0.0020,-0.0029,0.0005,0.0005
-0.3371,-0.3914,-0.0164,-0.0164,0.0379,0.0035,0.0035,-0.0005,-0.0005
-0.3376,-0.3912,-0.0162,-0.0162,0.0374,0.0031,0.0031,-0.0003,0.0005
-0.3376,-0.3912,-0.0162,-0.0162,0.0374,0.0031,0.0031,0.0005,-0.0003
-0.3378,-0.3911,-0.0161,-0.0161,0.0372,0.0029,0.0029,0.0003,0.0003
-0.1759,-0.4172,-0.0422,-0.0422,-0.0353,0.0001,0.0001,-0.0024,-0.0024
-0.1826,-0.4158,-0.0408,-0.0408,-0.0419,0.0015,0.0015,-0.0010,0.0024
-0.1826,-0.4158,-0.0408,-0.0408,-0.0419,0.0015,0.0015,0.0024,-0.0010
-0.1840,-0.4154,-0.0404,-0.0404,-0.0434,0.0020,0.0020,0.0010,0.0010
-0.1751,-0.4174,-0.0424,-0.0424,-0.0345,-0.0035,-0.0001,-0.0010,-0.0010
-0.1765,-0.4169,-0.0419,-0.0419,-0.0359,-0.0031,-0.0015,-0.0005,0.0010
-0.1765,-0.4169,-0.0419,-0.0419,-0.0359,-0.0031,-0.0015,0.0010,-0.0005
-0.1770,-0.4168,-0.0418,-0.0418,-0.0364,-0.0029,-0.0020,0.0005,0.0005
-0.1751,-0.4174,-0.0424,-0.0424,-0.0345,-0.0001,-0.0035,-0.0010,-0.0010
-0.1765,-0.4169,-0.0419,-0.0419,-0.0359,-0.0015,-0.0031,-0.0005,0.0010
-0.1765,-0.4169,-0.0419,-0.0419,-0.0359,-0.0015,-0.0031,0.0010,-0.0005
-0.1770,-0.4168,-0.0418,-0.0418,-0.0364,-0.0020,-0.0029,0.0005,0.0005
-0.1840,-0.4154,-0.0404,-0.0404,-0.0434,0.0035,0.0035,-0.0005,-0.0005
-0.1844,-0.4152,-0.0402,-0.0402,-0.0438,0.0031,0.0031,-0.0003,0.0005
-0.1844,-0.4152,-0.0402,-0.0402,-0.0438,0.0031,0.0031,0.0005,-0.0003
-0.1846,-0.4151,-0.0401,-0.0401,-0.0440,0.0029,0.0029,0.0003,0.0003
-0.2018,-0.4109,-0.0359,-0.0359,-0.0107,0.0013,0.0013,-0.0124,-0.0124
-0.2958,-0.4016,-0.0266,-0.0266,0.0026,0.0106,0.0106,-0.0031,0.0124
-0.2958,-0.4016,-0.0266,-0.0266,0.0026,0.0106,0.0106,0.0124,-0.0031
-0.3051,-0.3997,-0.0247,-0.0247,0.0055,0.0125,0.0125,0.0031,0.0031
-0.1950,-0.4119,-0.0369,-0.0369,-0.0123,-0.0168,-0.0013,-0.0031,-0.0031
-0.2043,-0.4100,-0.0350,-0.0350,-0.0094,-0.0149,-0.0106,-0.0012,0.0031
-0.2043,-0.4100,-0.0350,-0.0350,-0.0094,-0.0149,-0.0106,0.0031,-0.0012
-0.2062,-0.4095,-0.0345,-0.0345,-0.0085,-0.0143,-0.0125,0.0012,0.0012
-0.1950,-0.4119,-0.0369,-0.0369,-0.0123,-0.0013,-0.0168,-0.0031,-0.0031
-0.2043,-0.4100,-0.0350,-0.0350,-0.0094,-0.0106,-0.0149,-0.0012,0.0031
-0.2043,-0.4100,-0.0350,-0.0350,-0.0094,-0.0106,-0.0149,0.0031,-0.0012
-0.2062,-0.4095,-0.0345,-0.0345,-0.0085,-0.0125,-0.0143,0.0012,0.0012
-0.3051,-0.3997,-0.0247,-0.0247,0.0055,0.0168,0.0168,-0.0012,-0.0012
-0.3070,-0.3991,-0.0241,-0.0241,0.0064,0.0149,0.0149,-0.0006,0.0012
-0.3070,-0.3991,-0.0241,-0.0241,0.0064,0.0149,0.0149,0.0012,-0.0006
-0.3076,-0.3988,-0.0238,-0.0238,0.0068,0.0143,0.0143,0.0006,0.0006
-0.3649,-0.3817,0.0101,0.0101,0.0101,-0.0001,-0.0001,-0.0005,-0.0005
-0.3653,-0.3815,0.0097,0.0097,0.0097,0.0001,0.0001,-0.0003,0.0005
-0.3653,-0.3815,0.0097,0.0097,0.0097,0.0001,0.0001,0.0005,-0.0003
-0.3655,-0.3814,0.0095,0.0095,0.0095,0.0002,0.0002,0.0003,0.0003
-0.3648,-0.3817,0.0102,0.0102,0.0102,-0.0008,0.0001,-0.0003,-0.0003
-0.3650,-0.3816,0.0100,0.0100,0.0100,-0.0007,-0.0001,-0.0002,0.0003
-0.3650,-0.3816,0.0100,0.0100,0.0100,-0.0007,-0.0001,0.0003,-0.0002
-0.3651,-0.3815,0.0099,0.0099,0.0099,-0.0006,-0.0002,0.0002,0.0002
-0.3648,-0.3817,0.0102,0.0102,0.0102,0.0001,-0.0008,-0.0003,-0.0003
-0.3650,-0.3816,0.0100,0.0100,0.0100,-0.0001,-0.0007,-0.0002,0.0003
-0.3650,-0.3816,0.0100,0.0100,0.0100,-0.0001,-0.0007,0.0003,-0.0002
-0.3651,-0.3815,0.0099,0.0099,0.0099,-0.0002,-0.0006,0.0002,0.0002
-0.3655,-0.3814,0.0095,0.0095,0.0095,0.0008,0.0008,-0.0002,-0.0002
-0.3656,-0.3813,0.0094,0.0094,0.0094,0.0007,0.0007,-0.0002,0.0002
-0.3656,-0.3813,0.0094,0.0094,0.0094,0.0007,0.0007,0.0002,-0.0002
-0.3657,-0.3813,0.0093,0.0093,0.0093,0.0006,0.0006,0.0002,0.0002
-0.3576,-0.3848,0.0174,0.0174,-0.0086,-0.0001,-0.0001,-0.0005,-0.0005
-0.3581,-0.3846,0.0169,0.0169,-0.0091,0.0001,0.0001,-0.0003,0.0005
-0.3581,-0.3846,0.0169,0.0169,-0.0091,0.0001,0.0001,0.0005,-0.0003
-0.3582,-0.3845,0.0168,0.0168,-0.0093,0.0002,0.0002,0.0003,0.0003
-0.3576,-0.3848,0.0174,0.0174,-0.0086,-0.0008,0.0001,-0.0003,-0.0003
-0.3577,-0.3847,0.0173,0.0173,-0.0088,-0.0007,-0.0001,-0.0002,0.0003
-0.3577,-0.3847,0.0173,0.0173,-0.0088,-0.0007,-0.0001,0.0003,-0.0002
-0.3578,-0.3847,0.0172,0.0172,-0.0089,-0.0006,-0.0002,0.0002,0.0002
-0.3576,-0.3848,0.0174,0.0174,-0.0086,0.0001,-0.0008,-0.0003,-0.0003
-0.3577,-0.3847,0.0173,0.0173,-0.0088,-0.0001,-0.0007,-0.0002,0.0003
-0.3577,-0.3847,0.0173,0.0173,-0.0088,-0.0001,-0.0007,0.0003,-0.0002
-0.3578,-0.3847,0.0172,0.0172,-0.0089,-0.0002,-0.0006,0.0002,0.0002
-0.3582,-0.3845,0.0168,0.0168,-0.0093,0.0008,0.0008,-0.0002,-0.0002
-0.3583,-0.3845,0.0167,0.0167,-0.0094,0.0007,0.0007,-0.0002,0.0002
-0.3583,-0.3845,0.0167,0.0167,-0.0094,0.0007,0.0007,0.0002,-0.0002
-0.3584,-0.3844,0.0166,0.0166,-0.0094,0.0006,0.0006,0.0002,0.0002
-0.3599,-0.3837,0.0151,0.0151,-0.0015,-0.0000,-0.0000,-0.0012,-0.0012
-0.3618,-0.3831,0.0132,0.0132,-0.0006,0.0006,0.0006,-0.0006,0.0012
-0.3618,-0.3831,0.0132,0.0132,-0.0006,0.0006,0.0006,0.0012,-0.0006
-0.3624,-0.3829,0.0126,0.0126,-0.0002,0.0008,0.0008,0.0006,0.0006
-0.3597,-0.3838,0.0153,0.0153,-0.0016,-0.0018,0.0000,-0.0006,-0.0006
-0.3603,-0.3835,0.0147,0.0147,-0.0012,-0.0016,-0.0006,-0.0004,0.0006
-0.3603,-0.3835,0.0147,0.0147,-0.0012,-0.0016,-0.0006,0.0006,-0.0004
-0.3605,-0.3834,0.0145,0.0145,-0.0010,-0.0015,-0.0008,0.0004,0.0004
-0.3597,-0.3838,0.0153,0.0153,-0.0016,0.0000,-0.0018,-0.0006,-0.0006
-0.3603,-0.3835,0.0147,0.0147,-0.0012,-0.0006,-0.0016,-0.0004,0.0006
-0.3603,-0.3835,0.0147,0.0147,-0.0012,-0.0006,-0.0016,0.0006,-0.0004
-0.3605,-0.3834,0.0145,0.0145,-0.0010,-0.0008,-0.0015,0.0004,0.0004
-0.3624,-0.3829,0.0126,0.0126,-0.0002,0.0018,0.0018,-0.0004,-0.0004
-0.3627,-0.3828,0.0123,0.0123,0.0000,0.0016,0.0016,-0.0003,0.0004
-0.3627,-0.3828,0.0123,0.0123,0.0000,0.0016,0.0016,0.0004,-0.0003
-0.3628,-0.3827,0.0122,0.0122,0.0001,0.0015,0.0015,0.0003,0.0003
-0.3567,-0.3851,0.0183,-0.0101,0.0183,-0.0000,-0.0000,-0.0010,-0.0010
-0.3581,-0.3847,0.0169,-0.0097,0.0169,0.0004,0.0004,-0.0005,0.0010
-0.3581,-0.3847,0.0169,-0.0097,0.0169,0.0004,0.0004,0.0010,-0.0005
-0.3586,-0.3845,0.0164,-0.0095,0.0164,0.0006,0.0006,0.0005,0.0005
-0.3566,-0.3852,0.0184,-0.0102,0.0184,-0.0015,0.0000,-0.0005,-0.0005
-0.3570,-0.3850,0.0180,-0.0100,0.0180,-0.0013,-0.0004,-0.0003,0.0005
-0.3570,-0.3850,0.0180,-0.0100,0.0180,-0.0013,-0.0004,0.0005,-0.0003
-0.3572,-0.3849,0.0178,-0.0099,0.0178,-0.0012,-0.0006,0.0003,0.0003
-0.3566,-0.3852,0.0184,-0.0102,0.0184,0.0000,-0.0015,-0.0005,-0.0005
-0.3570,-0.3850,0.0180,-0.0100,0.0180,-0.0004,-0.0013,-0.0003,0.0005
-0.3570,-0.3850,0.0180,-0.0100,0.0180,-0.0004,-0.0013,0.0005,-0.0003
-0.3572,-0.3849,0.0178,-0.0099,0.0178,-0.0006,-0.0012,0.0003,0.0003
-0.3586,-0.3845,0.0164,-0.0095,0.0164,0.0015,0.0015,-0.0003,-0.0003
-0.3588,-0.3844,0.0162,-0.0094,0.0162,0.0013,0.0013,-0.0002,0.0003
-0.3588,-0.3844,0.0162,-0.0094,0.0162,0.0013,0.0013,0.0003,-0.0002
-0.3589,-0.3843,0.0161,-0.0093,0.0161,0.0012,0.0012,0.0002,0.0002
-0.3328,-0.3924,0.0422,-0.0174,-0.0151,-0.0000,-0.0000,-0.0010,-0.0010
-0.3342,-0.3919,0.0408,-0.0169,-0.0165,0.0004,0.0004,-0.0005,0.0010
-0.3342,-0.3919,0.0408,-0.0169,-0.0165,0.0004,0.0004,0.0010,-0.0005
-0.3346,-0.3918,0.0404,-0.0168,-0.0169,0.0006,0.0006,0.0005,0.0005
-0.3326,-0.3924,0.0424,-0.0174,-0.0149,-0.0015,0.0000,-0.0005,-0.0005
-0.3331,-0.3923,0.0419,-0.0173,-0.0153,-0.0013,-0.0004,-0.0003,0.0005
-0.3331,-0.3923,0.0419,-0.0173,-0.0153,-0.0013,-0.0004,0.0005,-0.0003
-0.3332,-0.3922,0.0418,-0.0172,-0.0155,-0.0012,-0.0006,0.0003,0.0003
-0.3326,-0.3924,0.0424,-0.0174,-0.0149,0.0000,-0.0015,-0.0005,-0.0005
-0.3331,-0.3923,0.0419,-0.0173,-0.0153,-0.0004,-0.0013,-0.0003,0.0005
-0.3331,-0.3923,0.0419,-0.0173,-0.0153,-0.0004,-0.0013,0.0005,-0.0003
-0.3332,-0.3922,0.0418,-0.0172,-0.0155,-0.0006,-0.0012,0.0003,0.0003
-0.3346,-0.3918,0.0404,-0.0168,-0.0169,0.0015,0.0015,-0.0003,-0.0003
-0.3348,-0.3917,0.0402,-0.0167,-0.0171,0.0013,0.0013,-0.0002,0.0003
-0.3348,-0.3917,0.0402,-0.0167,-0.0171,0.0013,0.0013,0.0003,-0.0002
-0.3349,-0.3916,0.0401,-0.0166,-0.0172,0.0012,0.0012,0.0002,0.0002
-0.3391,-0.3901,0.0359,-0.0151,-0.0032,0.0002,0.0002,-0.0031,-0.0031
-0.3484,-0.3882,0.0266,-0.0132,-0.0004,0.0021,0.0021,-0.0012,0.0031
-0.3484,-0.3882,0.0266,-0.0132,-0.0004,0.0021,0.0021,0.0031,-0.0012
-0.3503,-0.3876,0.0247,-0.0126,0.0005,0.0027,0.0027,0.0012,0.0012
-0.3381,-0.3903,0.0369,-0.0153,-0.0036,-0.0045,-0.0002,-0.0012,-0.0012
-0.3400,-0.3897,0.0350,-0.0147,-0.0026,-0.0039,-0.0021,-0.0006,0.0012
-0.3400,-0.3897,0.0350,-0.0147,-0.0026,-0.0039,-0.0021,0.0012,-0.0006
-0.3405,-0.3895,0.0345,-0.0145,-0.0023,-0.0037,-0.0027,0.0006,0.0006
-0.3381,-0.3903,0.0369,-0.0153,-0.0036,-0.0002,-0.0045,-0.0012,-0.0012
-0.3400,-0.3897,0.0350,-0.0147,-0.0026,-0.0021,-0.0039,-0.0006,0.0012
-0.3400,-0.3897,0.0350,-0.0147,-0.0026,-0.0021,-0.0039,0.0012,-0.0006
-0.3405,-0.3895,0.0345,-0.0145,-0.0023,-0.0027,-0.0037,0.0006,0.0006
-0.3503,-0.3876,0.0247,-0.0126,0.0005,0.0045,0.0045,-0.0006,-0.0006
-0.3509,-0.3873,0.0241,-0.0123,0.0009,0.0039,0.0039,-0.0004,0.0006
-0.3509,-0.3873,0.0241,-0.0123,0.0009,0.0039,0.0039,0.0006,-0.0004
-0.3512,-0.3872,0.0238,-0.0122,0.0011,0.0037,0.0037,0.0004,0.0004
-0.1149,0.3851,-0.0067,0.0101,0.0101,-0.0001,-0.0001,-0.0005,-0.0005
-0.1153,0.3847,-0.0065,0.0097,0.0097,0.0001,0.0001,-0.0003,0.0005
-0.1153,0.3847,-0.0065,0.0097,0.0097,0.0001,0.0001,0.0005,-0.0003
-0.1155,0.3845,-0.0064,0.0095,0.0095,0.0002,0.0002,0.0003,0.0003
-0.1148,0.3852,-0.0067,0.0102,0.0102,-0.0008,0.0001,-0.0003,-0.0003
-0.1150,0.3850,-0.0066,0.0100,0.0100,-0.0007,-0.0001,-0.0002,0.0003
-0.1150,0.3850,-0.0066,0.0100,0.0100,-0.0007,-0.0001,0.0003,-0.0002
-0.1151,0.3849,-0.0065,0.0099,0.0099,-0.0006,-0.0002,0.0002,0.0002
-0.1148,0.3852,-0.0067,0.0102,0.0102,0.0001,-0.0008,-0.0003,-0.0003
-0.1150,0.3850,-0.0066,0.0100,0.0100,-0.0001,-0.0007,-0.0002,0.0003
-0.1150,0.3850,-0.0066,0.0100,0.0100,-0.0001,-0.0007,0.0003,-0.0002
-0.1151,0.3849,-0.0065,0.0099,0.0099,-0.0002,-0.0006,0.0002,0.0002
-0.1155,0.3845,-0.0064,0.0095,0.0095,0.0008,0.0008,-0.0002,-0.0002
-0.1156,0.3844,-0.0063,0.0094,0.0094,0.0007,0.0007,-0.0002,0.0002
-0.1156,0.3844,-0.0063,0.0094,0.0094,0.0007,0.0007,0.0002,-0.0002
-0.1157,0.3843,-0.0063,0.0093,0.0093,0.0006,0.0006,0.0002,0.0002
-0.1076,0.3924,-0.0098,0.0174,-0.0086,-0.0001,-0.0001,-0.0005,-0.0005
-0.1081,0.3919,-0.0096,0.0169,-0.0091,0.0001,0.0001,-0.0003,0.0005
-0.1081,0.3919,-0.0096,0.0169,-0.0091,0.0001,0.0001,0.0005,-0.0003
-0.1082,0.3918,-0.0095,0.0168,-0.0093,0.0002,0.0002,0.0003,0.0003
-0.1076,0.3924,-0.0098,0.0174,-0.0086,-0.0008,0.0001,-0.0003,-0.0003
-0.1077,0.3923,-0.0097,0.0173,-0.0088,-0.0007,-0.0001,-0.0002,0.0003
-0.1077,0.3923,-0.0097,0.0173,-0.0088,-0.0007,-0.0001,0.0003,-0.0002
-0.1078,0.3922,-0.0097,0.0172,-0.0089,-0.0006,-0.0002,0.0002,0.0002
-0.1076,0.3924,-0.0098,0.0174,-0.0086,0.0001,-0.0008,-0.0003,-0.0003
-0.1077,0.3923,-0.0097,0.0173,-0.0088,-0.0001,-0.0007,-0.0002,0.0003
-0.1077,0.3923,-0.0097,0.0173,-0.0088,-0.0001,-0.0007,0.0003,-0.0002
-0.1078,0.3922,-0.0097,0.0172,-0.0089,-0.0002,-0.0006,0.0002,0.0002
-0.1082,0.3918,-0.0095,0.0168,-0.0093,0.0008,0.0008,-0.0002,-0.0002
-0.1083,0.3917,-0.0095,0.0167,-0.0094,0.0007,0.0007,-0.0002,0.0002
-0.1083,0.3917,-0.0095,0.0167,-0.0094,0.0007,0.0007,0.0002,-0.0002
-0.1084,0.3916,-0.0094,0.0166,-0.0094,0.0006,0.0006,0.0002,0.0002
-0.1099,0.3901,-0.0087,0.0151,-0.0015,-0.0000,-0.0000,-0.0012,-0.0012
-0.1118,0.3882,-0.0081,0.0132,-0.0006,0.0006,0.0006,-0.0006,0.0012
-0.1118,0.3882,-0.0081,0.0132,-0.0006,0.0006,0.0006,0.0012,-0.0006
-0.1124,0.3876,-0.0079,0.0126,-0.0002,0.0008,0.0008,0.0006,0.0006
-0.1097,0.3903,-0.0088,0.0153,-0.0016,-0.0018,0.0000,-0.0006,-0.0006
-0.1103,0.3897,-0.0085,0.0147,-0.0012,-0.0016,-0.0006,-0.0004,0.0006
-0.1103,0.3897,-0.0085,0.0147,-0.0012,-0.0016,-0.0006,0.0006,-0.0004
-0.1105,0.3895,-0.0084,0.0145,-0.0010,-0.0015,-0.0008,0.0004,0.0004
-0.1097,0.3903,-0.0088,0.0153,-0.0016,0.0000,-0.0018,-0.0006,-0.0006
-0.1103,0.3897,-0.0085,0.0147,-0.0012,-0.0006,-0.0016,-0.0004,0.0006
-0.1103,0.3897,-0.0085,0.0147,-0.0012,-0.0006,-0.0016,0.0006,-0.0004
-0.1105,0.3895,-0.0084,0.0145,-0.0010,-0.0008,-0.0015,0.0004,0.0004
-0.1124,0.3876,-0.0079,0.0126,-0.0002,0.0018,0.0018,-0.0004,-0.0004
-0.1127,0.3873,-0.0078,0.0123,0.0000,0.0016,0.0016,-0.0003,0.0004
-0.1127,0.3873,-0.0078,0.0123,0.0000,0.0016,0.0016,0.0004,-0.0003
-0.1128,0.3872,-0.0077,0.0122,0.0001,0.0015,0.0015,0.0003,0.0003
-0.1067,0.3933,-0.0101,-0.0101,0.0183,-0.0000,-0.0000,-0.0010,-0.0010
-0.1081,0.3919,-0.0097,-0.0097,0.0169,0.0004,0.0004,-0.0005,0.0010
-0.1081,0.3919,-0.0097,-0.0097,0.0169,0.0004,0.0004,0.0010,-0.0005
-0.1086,0.3914,-0.0095,-0.0095,0.0164,0.0006,0.0006,0.0005,0.0005
-0.1066,0.3934,-0.0102,-0.0102,0.0184,-0.0015,0.0000,-0.0005,-0.0005
-0.1070,0.3930,-0.0100,-0.0100,0.0180,-0.0013,-0.0004,-0.0003,0.0005
-0.1070,0.3930,-0.0100,-0.0100,0.0180,-0.0013,-0.0004,0.0005,-0.0003
-0.1072,0.3928,-0.0099,-0.0099,0.0178,-0.0012,-0.0006,0.0003,0.0003
-0.1066,0.3934,-0.0102,-0.0102,0.0184,0.0000,-0.0015,-0.0005,-0.0005
-0.1070,0.3930,-0.0100,-0.0100,0.0180,-0.0004,-0.0013,-0.0003,0.0005
-0.1070,0.3930,-0.0100,-0.0100,0.0180,-0.0004,-0.0013,0.0005,-0.0003
-0.1072,0.3928,-0.0099,-0.0099,0.0178,-0.0006,-0.0012,0.0003,0.0003
