texture=?,root=?,color=?,surface=?,sound=?,umbilicus=?
-0.2793,0.0602,-0.0509,0.0046,-0.0617,-0.0617
-0.2423,0.0602,-0.0509,0.0046,-0.1914,0.0309
-0.2423,0.0602,-0.0509,0.0046,-0.1914,0.0309
-0.2052,0.0602,-0.0509,0.0046,0.1235,-0.3210
0.0540,0.0602,-0.0509,0.0046,0.3827,0.1605
0.0540,0.0602,-0.0509,0.0046,0.3827,0.1605
-0.2793,0.0602,-0.0509,0.0046,-0.0617,-0.0617
-0.2423,0.0602,-0.0509,0.0046,-0.1914,0.0309
-0.2423,0.0602,-0.0509,0.0046,-0.1914,0.0309
-0.2762,0.0633,-0.0478,-0.0046,-0.0617,-0.0617
-0.2392,0.0633,-0.0478,-0.0046,-0.1914,0.0309
-0.2392,0.0633,-0.0478,-0.0046,-0.1914,0.0309
-0.2022,0.0633,-0.0478,-0.0046,0.1235,-0.3210
0.0571,0.0633,-0.0478,-0.0046,0.3827,0.1605
0.0571,0.0633,-0.0478,-0.0046,0.3827,0.1605
-0.2762,0.0633,-0.0478,-0.0046,-0.0617,-0.0617
-0.2392,0.0633,-0.0478,-0.0046,-0.1914,0.0309
-0.2392,0.0633,-0.0478,-0.0046,-0.1914,0.0309
-0.4414,0.0648,0.1019,0.0093,-0.0617,-0.0617
-0.4043,0.0648,0.1019,0.0093,-0.1914,0.0309
-0.4043,0.0648,0.1019,0.0093,-0.1914,0.0309
-0.3673,0.0648,0.1019,0.0093,0.1235,-0.3210
-0.1080,0.0648,0.1019,0.0093,0.3827,0.1605
-0.1080,0.0648,0.1019,0.0093,0.3827,0.1605
-0.4414,0.0648,0.1019,0.0093,-0.0617,-0.0617
-0.4043,0.0648,0.1019,0.0093,-0.1914,0.0309
-0.4043,0.0648,0.1019,0.0093,-0.1914,0.0309
-0.4290,0.0772,0.0957,-0.0093,-0.0617,-0.0617
-0.3920,0.0772,0.0957,-0.0093,-0.1914,0.0309
-0.3920,0.0772,0.0957,-0.0093,-0.1914,0.0309
-0.3549,0.0772,0.0957,-0.0093,0.1235,-0.3210
-0.0957,0.0772,0.0957,-0.0093,0.3827,0.1605
-0.0957,0.0772,0.0957,-0.0093,0.3827,0.1605
-0.4290,0.0772,0.0957,-0.0093,-0.0617,-0.0617
-0.3920,0.0772,0.0957,-0.0093,-0.1914,0.0309
-0.3920,0.0772,0.0957,-0.0093,-0.1914,0.0309
-0.2793,0.0602,-0.0509,0.0046,-0.0617,-0.0617
-0.2423,0.0602,-0.0509,0.0046,-0.1914,0.0309
-0.2423,0.0602,-0.0509,0.0046,-0.1914,0.0309
-0.2052,0.0602,-0.0509,0.0046,0.1235,-0.3210
0.0540,0.0602,-0.0509,0.0046,0.3827,0.1605
0.0540,0.0602,-0.0509,0.0046,0.3827,0.1605
-0.2793,0.0602,-0.0509,0.0046,-0.0617,-0.0617
-0.2423,0.0602,-0.0509,0.0046,-0.1914,0.0309
-0.2423,0.0602,-0.0509,0.0046,-0.1914,0.0309
-0.2762,0.0633,-0.0478,-0.0046,-0.0617,-0.0617
-0.2392,0.0633,-0.0478,-0.0046,-0.1914,0.0309
-0.2392,0.0633,-0.0478,-0.0046,-0.1914,0.0309
-0.2022,0.0633,-0.0478,-0.0046,0.1235,-0.3210
0.0571,0.0633,-0.0478,-0.0046,0.3827,0.1605
0.0571,0.0633,-0.0478,-0.0046,0.3827,0.1605
-0.2762,0.0633,-0.0478,-0.0046,-0.0617,-0.0617
-0.2392,0.0633,-0.0478,-0.0046,-0.1914,0.0309
-0.2392,0.0633,-0.0478,-0.0046,-0.1914,0.0309
-0.2747,0.0463,-0.0463,0.0093,-0.0617,-0.0617
-0.2377,0.0463,-0.0463,0.0093,-0.1914,0.0309
-0.2377,0.0463,-0.0463,0.0093,-0.1914,0.0309
-0.2006,0.0463,-0.0463,0.0093,0.1235,-0.3210
0.0586,0.0463,-0.0463,0.0093,0.3827,0.1605
0.0586,0.0463,-0.0463,0.0093,0.3827,0.1605
-0.2747,0.0463,-0.0463,0.0093,-0.0617,-0.0617
-0.2377,0.0463,-0.0463,0.0093,-0.1914,0.0309
-0.2377,0.0463,-0.0463,0.0093,-0.1914,0.0309
-0.2623,0.0401,-0.0340,-0.0093,-0.0617,-0.0617
-0.2253,0.0401,-0.0340,-0.0093,-0.1914,0.0309
-0.2253,0.0401,-0.0340,-0.0093,-0.1914,0.0309
-0.1883,0.0401,-0.0340,-0.0093,0.1235,-0.3210
0.0710,0.0401,-0.0340,-0.0093,0.3827,0.1605
0.0710,0.0401,-0.0340,-0.0093,0.3827,0.1605
-0.2623,0.0401,-0.0340,-0.0093,-0.0617,-0.0617
-0.2253,0.0401,-0.0340,-0.0093,-0.1914,0.0309
-0.2253,0.0401,-0.0340,-0.0093,-0.1914,0.0309
-0.4228,0.0370,0.0926,0.0278,-0.0617,-0.0617
-0.3858,0.0370,0.0926,0.0278,-0.1914,0.0309
-0.3858,0.0370,0.0926,0.0278,-0.1914,0.0309
-0.3488,0.0370,0.0926,0.0278,0.1235,-0.3210
-0.0895,0.0370,0.0926,0.0278,0.3827,0.1605
-0.0895,0.0370,0.0926,0.0278,0.3827,0.1605
-0.4228,0.0370,0.0926,0.0278,-0.0617,-0.0617
-0.3858,0.0370,0.0926,0.0278,-0.1914,0.0309
-0.3858,0.0370,0.0926,0.0278,-0.1914,0.0309
-0.3179,0.0123,0.0679,-0.0278,-0.0617,-0.0617
-0.2809,0.0123,0.0679,-0.0278,-0.1914,0.0309
-0.2809,0.0123,0.0679,-0.0278,-0.1914,0.0309
-0.2438,0.0123,0.0679,-0.0278,0.1235,-0.3210
0.0154,0.0123,0.0679,-0.0278,0.3827,0.1605
0.0154,0.0123,0.0679,-0.0278,0.3827,0.1605
-0.3179,0.0123,0.0679,-0.0278,-0.0617,-0.0617
-0.2809,0.0123,0.0679,-0.0278,-0.1914,0.0309
-0.2809,0.0123,0.0679,-0.0278,-0.1914,0.0309
-0.2747,0.0463,-0.0463,0.0093,-0.0617,-0.0617
-0.2377,0.0463,-0.0463,0.0093,-0.1914,0.0309
-0.2377,0.0463,-0.0463,0.0093,-0.1914,0.0309
-0.2006,0.0463,-0.0463,0.0093,0.1235,-0.3210
0.0586,0.0463,-0.0463,0.0093,0.3827,0.1605
0.0586,0.0463,-0.0463,0.0093,0.3827,0.1605
-0.2747,0.0463,-0.0463,0.0093,-0.0617,-0.0617
-0.2377,0.0463,-0.0463,0.0093,-0.1914,0.0309
-0.2377,0.0463,-0.0463,0.0093,-0.1914,0.0309
-0.2623,0.0401,-0.0340,-0.0093,-0.0617,-0.0617
-0.2253,0.0401,-0.0340,-0.0093,-0.1914,0.0309
-0.2253,0.0401,-0.0340,-0.0093,-0.1914,0.0309
-0.1883,0.0401,-0.0340,-0.0093,0.1235,-0.3210
0.0710,0.0401,-0.0340,-0.0093,0.3827,0.1605
0.0710,0.0401,-0.0340,-0.0093,0.3827,0.1605
-0.2623,0.0401,-0.0340,-0.0093,-0.0617,-0.0617
-0.2253,0.0401,-0.0340,-0.0093,-0.1914,0.0309
-0.2253,0.0401,-0.0340,-0.0093,-0.1914,0.0309
-0.1127,-0.1065,-0.0509,0.0046,-0.0617,-0.0617
-0.0756,-0.1065,-0.0509,0.0046,-0.1914,0.0309
-0.0756,-0.1065,-0.0509,0.0046,-0.1914,0.0309
-0.0386,-0.1065,-0.0509,0.0046,0.1235,-0.3210
0.2207,-0.1065,-0.0509,0.0046,0.3827,0.1605
0.2207,-0.1065,-0.0509,0.0046,0.3827,0.1605
-0.1127,-0.1065,-0.0509,0.0046,-0.0617,-0.0617
-0.0756,-0.1065,-0.0509,0.0046,-0.1914,0.0309
-0.0756,-0.1065,-0.0509,0.0046,-0.1914,0.0309
-0.1096,-0.1034,-0.0478,-0.0046,-0.0617,-0.0617
-0.0725,-0.1034,-0.0478,-0.0046,-0.1914,0.0309
-0.0725,-0.1034,-0.0478,-0.0046,-0.1914,0.0309
-0.0355,-0.1034,-0.0478,-0.0046,0.1235,-0.3210
0.2238,-0.1034,-0.0478,-0.0046,0.3827,0.1605
0.2238,-0.1034,-0.0478,-0.0046,0.3827,0.1605
-0.1096,-0.1034,-0.0478,-0.0046,-0.0617,-0.0617
-0.0725,-0.1034,-0.0478,-0.0046,-0.1914,0.0309
-0.0725,-0.1034,-0.0478,-0.0046,-0.1914,0.0309
-0.2747,-0.1019,0.1019,0.0093,-0.0617,-0.0617
-0.2377,-0.1019,0.1019,0.0093,-0.1914,0.0309
-0.2377,-0.1019,0.1019,0.0093,-0.1914,0.0309
-0.2006,-0.1019,0.1019,0.0093,0.1235,-0.3210
0.0586,-0.1019,0.1019,0.0093,0.3827,0.1605
0.0586,-0.1019,0.1019,0.0093,0.3827,0.1605
-0.2747,-0.1019,0.1019,0.0093,-0.0617,-0.0617
-0.2377,-0.1019,0.1019,0.0093,-0.1914,0.0309
-0.2377,-0.1019,0.1019,0.0093,-0.1914,0.0309
-0.2623,-0.0895,0.0957,-0.0093,-0.0617,-0.0617
-0.2253,-0.0895,0.0957,-0.0093,-0.1914,0.0309
-0.2253,-0.0895,0.0957,-0.0093,-0.1914,0.0309
-0.1883,-0.0895,0.0957,-0.0093,0.1235,-0.3210
0.0710,-0.0895,0.0957,-0.0093,0.3827,0.1605
0.0710,-0.0895,0.0957,-0.0093,0.3827,0.1605
-0.2623,-0.0895,0.0957,-0.0093,-0.0617,-0.0617
-0.2253,-0.0895,0.0957,-0.0093,-0.1914,0.0309
-0.2253,-0.0895,0.0957,-0.0093,-0.1914,0.0309
-0.1127,-0.1065,-0.0509,0.0046,-0.0617,-0.0617
-0.0756,-0.1065,-0.0509,0.0046,-0.1914,0.0309
-0.0756,-0.1065,-0.0509,0.0046,-0.1914,0.0309
-0.0386,-0.1065,-0.0509,0.0046,0.1235,-0.3210
0.2207,-0.1065,-0.0509,0.0046,0.3827,0.1605
0.2207,-0.1065,-0.0509,0.0046,0.3827,0.1605
-0.1127,-0.1065,-0.0509,0.0046,-0.0617,-0.0617
-0.0756,-0.1065,-0.0509,0.0046,-0.1914,0.0309
-0.0756,-0.1065,-0.0509,0.0046,-0.1914,0.0309
-0.1096,-0.1034,-0.0478,-0.0046,-0.0617,-0.0617
-0.0725,-0.1034,-0.0478,-0.0046,-0.1914,0.0309
-0.0725,-0.1034,-0.0478,-0.0046,-0.1914,0.0309
-0.0355,-0.1034,-0.0478,-0.0046,0.1235,-0.3210
0.2238,-0.1034,-0.0478,-0.0046,0.3827,0.1605
0.2238,-0.1034,-0.0478,-0.0046,0.3827,0.1605
-0.1096,-0.1034,-0.0478,-0.0046,-0.0617,-0.0617
-0.0725,-0.1034,-0.0478,-0.0046,-0.1914,0.0309
-0.0725,-0.1034,-0.0478,-0.0046,-0.1914,0.0309
0.4660,0.2315,-0.0463,0.0093,-0.0247,-0.0247
0.4475,0.2315,-0.0463,0.0093,-0.0432,0.0123
0.4475,0.2315,-0.0463,0.0093,-0.0432,0.0123
0.4290,0.2315,-0.0463,0.0093,0.0494,-0.0617
0.2994,0.2315,-0.0463,0.0093,0.0864,0.0309
0.2994,0.2315,-0.0463,0.0093,0.0864,0.0309
0.4660,0.2315,-0.0463,0.0093,-0.0247,-0.0247
0.4475,0.2315,-0.0463,0.0093,-0.0432,0.0123
0.4475,0.2315,-0.0463,0.0093,-0.0432,0.0123
0.4599,0.2438,-0.0340,-0.0093,-0.0247,-0.0247
0.4414,0.2438,-0.0340,-0.0093,-0.0432,0.0123
0.4414,0.2438,-0.0340,-0.0093,-0.0432,0.0123
0.4228,0.2438,-0.0340,-0.0093,0.0494,-0.0617
0.2932,0.2438,-0.0340,-0.0093,0.0864,0.0309
0.2932,0.2438,-0.0340,-0.0093,0.0864,0.0309
0.4599,0.2438,-0.0340,-0.0093,-0.0247,-0.0247
0.4414,0.2438,-0.0340,-0.0093,-0.0432,0.0123
0.4414,0.2438,-0.0340,-0.0093,-0.0432,0.0123
0.2901,0.2500,0.0926,0.0278,-0.0247,-0.0247
0.2716,0.2500,0.0926,0.0278,-0.0432,0.0123
0.2716,0.2500,0.0926,0.0278,-0.0432,0.0123
0.2531,0.2500,0.0926,0.0278,0.0494,-0.0617
0.1235,0.2500,0.0926,0.0278,0.0864,0.0309
0.1235,0.2500,0.0926,0.0278,0.0864,0.0309
0.2901,0.2500,0.0926,0.0278,-0.0247,-0.0247
0.2716,0.2500,0.0926,0.0278,-0.0432,0.0123
0.2716,0.2500,0.0926,0.0278,-0.0432,0.0123
0.2654,0.3549,0.0679,-0.0278,-0.0247,-0.0247
0.2469,0.3549,0.0679,-0.0278,-0.0432,0.0123
0.2469,0.3549,0.0679,-0.0278,-0.0432,0.0123
0.2284,0.3549,0.0679,-0.0278,0.0494,-0.0617
0.0988,0.3549,0.0679,-0.0278,0.0864,0.0309
0.0988,0.3549,0.0679,-0.0278,0.0864,0.0309
0.2654,0.3549,0.0679,-0.0278,-0.0247,-0.0247
0.2469,0.3549,0.0679,-0.0278,-0.0432,0.0123
0.2469,0.3549,0.0679,-0.0278,-0.0432,0.0123
0.4660,0.2315,-0.0463,0.0093,-0.0247,-0.0247
0.4475,0.2315,-0.0463,0.0093,-0.0432,0.0123
0.4475,0.2315,-0.0463,0.0093,-0.0432,0.0123
0.4290,0.2315,-0.0463,0.0093,0.0494,-0.0617
0.2994,0.2315,-0.0463,0.0093,0.0864,0.0309
0.2994,0.2315,-0.0463,0.0093,0.0864,0.0309
0.4660,0.2315,-0.0463,0.0093,-0.0247,-0.0247
0.4475,0.2315,-0.0463,0.0093,-0.0432,0.0123
0.4475,0.2315,-0.0463,0.0093,-0.0432,0.0123
0.4599,0.2438,-0.0340,-0.0093,-0.0247,-0.0247
0.4414,0.2438,-0.0340,-0.0093,-0.0432,0.0123
0.4414,0.2438,-0.0340,-0.0093,-0.0432,0.0123
0.4228,0.2438,-0.0340,-0.0093,0.0494,-0.0617
0.2932,0.2438,-0.0340,-0.0093,0.0864,0.0309
0.2932,0.2438,-0.0340,-0.0093,0.0864,0.0309
0.4599,0.2438,-0.0340,-0.0093,-0.0247,-0.0247
0.4414,0.2438,-0.0340,-0.0093,-0.0432,0.0123
0.4414,0.2438,-0.0340,-0.0093,-0.0432,0.0123
0.4568,0.2037,-0.0278,0.0278,-0.0247,-0.0247
0.4383,0.2037,-0.0278,0.0278,-0.0432,0.0123
0.4383,0.2037,-0.0278,0.0278,-0.0432,0.0123
0.4198,0.2037,-0.0278,0.0278,0.0494,-0.0617
0.2901,0.2037,-0.0278,0.0278,0.0864,0.0309
0.2901,0.2037,-0.0278,0.0278,0.0864,0.0309
0.4568,0.2037,-0.0278,0.0278,-0.0247,-0.0247
0.4383,0.2037,-0.0278,0.0278,-0.0432,0.0123
0.4383,0.2037,-0.0278,0.0278,-0.0432,0.0123
0.4321,0.1790,0.0772,-0.0278,-0.0247,-0.0247
0.4136,0.1790,0.0772,-0.0278,-0.0432,0.0123
0.4136,0.1790,0.0772,-0.0278,-0.0432,0.0123
0.3951,0.1790,0.0772,-0.0278,0.0494,-0.0617
0.2654,0.1790,0.0772,-0.0278,0.0864,0.0309
0.2654,0.1790,0.0772,-0.0278,0.0864,0.0309
0.4321,0.1790,0.0772,-0.0278,-0.0247,-0.0247
0.4136,0.1790,0.0772,-0.0278,-0.0432,0.0123
0.4136,0.1790,0.0772,-0.0278,-0.0432,0.0123
0.2531,0.1667,0.0556,0.1852,-0.0247,-0.0247
0.2346,0.1667,0.0556,0.1852,-0.0432,0.0123
0.2346,0.1667,0.0556,0.1852,-0.0432,0.0123
0.2160,0.1667,0.0556,0.1852,0.0494,-0.0617
0.0864,0.1667,0.0556,0.1852,0.0864,0.0309
0.0864,0.1667,0.0556,0.1852,0.0864,0.0309
0.2531,0.1667,0.0556,0.1852,-0.0247,-0.0247
0.2346,0.1667,0.0556,0.1852,-0.0432,0.0123
0.2346,0.1667,0.0556,0.1852,-0.0432,0.0123
